1,Mummy,monsterdescription,5,20
2,Ghost,monsterdescription,5,20
3,Witch,monsterdescription,5,20
4,Spider,monsterdescription,5,20
5,Werewolves,monsterdescription,5,20
6,Floating Eyeballs,monsterdescription,5,20
7,Carnivorous Plants,monsterdescription,5,20
8,Banshee,monsterdescription,5,20
9,Madman,monsterdescription,5,20
10,Evil Twins,monsterdescription,5,20
11,Nightmares,monsterdescription,5,20
12,Cultists,monsterdescription,5,20
13,Dragon,monsterdescription,5,20
14,Phantom,monsterdescription,5,20
15,Poltergeist,monsterdescription,5,20
16,Flesh-Like Blob,monsterdescription,5,20
17,Ghost Bride,monsterdescription,5,20
18,Zombie Lord,monsterdescription,5,20
19,Tentacle Beast,monsterdescription,5,20
20,Bats,monsterdescription,5,20
21,Voodoo Dolls,monsterdescription,5,20
22,Rats,monsterdescription,5,20
23,Demon Lord,monsterdescription,5,20
24,Frankenstein,monsterdescription,5,20
25,Dracula,monsterdescription,5,20
26,Elder God,monsterdescription,5,20
27,Cats,monsterdescription,5,20
28,Rowboat,monsterdescription,5,20
29,Death,monsterdescription,5,20
30,Firebats,monsterdescription,5,20
31,Assassins,monsterdescription,5,20
32,Cannibal Freaks,monsterdescription,5,20
33,Snakes,monsterdescription,5,20
34,Crimson Jack,monsterdescription,5,20
35,Astral Spirit,monsterdescription,5,20
